rank,score,tier,id,uuid,title,product_use,categories,spatial_type,resolution,temporal_start,temporal_end,update_frequency,license,publisher,publication_date,popularity,keywords,bbox_west,bbox_south,bbox_east,bbox_north,overlaps_nepal,landing_page,reasons
26,161,critical,17466,bceddc7f-fe3c-4326-8087-ac4e2ccf758e,"Meteorological Data of HYCOS Automatic Weather Station at Korilla, Bhutan",real-time weather / forecast,weather_climate; hazard,,,2011-01-19t03:45:00.000z,2013-12-31t06:00:00.000z,As needed,,ICIMOD,2014-11-03,1660,HYCOS; Flood; Water Level; Rainfall; Hydrological Station; Precipitation; Bhutan; Korilla; Climatology; meteorology; atmosphere,91.30061,27.28508,91.300611111111,27.28508,false,https://rds.icimod.org/Home/DataDetail?metadataId=17466,Spatial extent overlaps HKH region
27,160,critical,20831,19304eac-3615-40c0-be9f-cc610e9b1138,Glacial Lakes of Nepal 2011,snowline / glacier context,cryosphere; hazard; hydrology; remote_sensing,Vector,30 m,1957-12-29t18:30:00.000z,2009-12-29t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2011-01-03,19793,Glacial Lakes; Flood; Glacier; Himalaya; HKH; Maha Kali; Gandaki; Nepal; Koshi; Karnali; Hindu Kush Himalaya; Geoscientific information,80.1742,26.3389,88.0556,30.4073,true,https://rds.icimod.org/Home/DataDetail?metadataId=20831,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Long temporal baseline (≥10 years); Open license (CC BY); High portal popularity
28,153,critical,24065,6a31e6e5-b1e4-4ed9-a245-d5507e380217,Glacial Lake Status after Gorkha Earthquake,snowline / glacier context,cryosphere; hazard; route_context; remote_sensing,Vector,5000,2015-04-26t18:15:00.000z,2015-05-31t18:15:00.000z,As needed,"Users are permitted to copy, use, adapt, and redistribute these data. Users of these data must cite the Science paper, J",ICIMOD,2015-11-11,3561,Glacial Lake; geohazards; earthquake; servircat; icimod-servir; Nepal; Geoscientific information,83.6,27.26191,86.93142,28.854,true,https://rds.icimod.org/Home/DataDetail?metadataId=24065,Spatial extent overlaps Nepal; Explicitly mentions Nepal
29,152,critical,1972414,a25ec7a0-440e-4cf4-b186-869d66f06821,Pluviometer: Langshisha,real-time weather / forecast,weather_climate; cryosphere,,,2013-10-28t18:15:00.000z,2019-10-30t18:15:00.000z,Annually,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2020-03-11,12609,precipitation; meteorology; Langtang; Nepal; Climatology; meteorology; atmosphere,85.68619,28.20265,85.68619,28.20265,true,https://rds.icimod.org/Home/DataDetail?metadataId=1972414,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
30,152,critical,1972413,c554ae0d-4a27-42ba-825c-01dc4992ed86,Pluviometer: Morimoto,real-time weather / forecast,weather_climate; cryosphere,,,2013-05-16t18:15:00.000z,2019-10-29t18:15:00.000z,Annually,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2020-03-11,12355,precipitation; meteorology; Langtang; Nepal; Climatology; meteorology; atmosphere,85.68152,28.25296,85.68152,28.25296,true,https://rds.icimod.org/Home/DataDetail?metadataId=1972413,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
31,151,critical,1973819,54711a0a-c6ce-44b5-b3a6-5d5ebd03d73b,Improved 8-day version 6.1 Terra–Aqua MODIS cloud-free snow cover and Randolph Glacier Inventory 6.0 product for high-mountain Asia between 2002 and 2022,snowline / glacier context,cryosphere; remote_sensing,Grid,,2002-10-15t18:15:00.000z,2022-12-30t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2023-12-22,35295,HMA; HKH; MODIS; Snow Cover; Cryosphere; Geoscientific information,58.22,24.32,122.48,49.19,true,https://rds.icimod.org/Home/DataDetail?metadataId=1973819,Spatial extent overlaps Nepal; Recent temporal coverage (≥2020); Long temporal baseline (≥10 years); Open license (CC BY); High portal popularity
32,149,critical,36030,6f0973ec-e152-425a-90ce-c99a6892de37,Raw Ground Penetrating Radar (GPR) collected on Rikha Samba glacier in 2015,snowline / glacier context,cryosphere; terrain_landcover,,,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2015-01-01,14499,Glacier; Ice Thickness; Cryosphere; GPR; Rikha Samba; Lower Mustang; Nepal; Hindu Kush Himalaya; Geoscientific information,85.785589,28.11677,85.81682,28.20026,true,https://rds.icimod.org/Home/DataDetail?metadataId=36030,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020); Open license (CC BY); High portal popularity
33,146,critical,18006,dafbd614-d83f-4fef-917a-3366c1d28a63,"Meteorological Data of HYCOS Automatic Weather Station at Hongtsho, Bhutan",real-time weather / forecast,weather_climate; hazard,,,2011-01-18t07:00:00.000z,2013-12-31t06:00:00.000z,As needed,,ICIMOD,2014-11-11,1615,HYCOS; Flood; Rainfall; Meteorological Station; Wind Direction; Wind Speed; Pressure; Relative Humidity; Temperature; Bhutan; Hongtsho; Thimpu; Climatology; meteorology; atmosphere,89.73357,27.46769,89.733566666667,27.46769,false,https://rds.icimod.org/Home/DataDetail?metadataId=18006,Spatial extent overlaps HKH region
34,146,critical,17450,2e5dae2a-04d2-4b34-85e5-bb8f1be57961,"Meteorological Data of HYCOS Automatic Weather Station at Kurigram, Bangladesh.",real-time weather / forecast,weather_climate; hazard,,,2011-01-17t02:45:00.000z,2013-01-31t06:00:00.000z,As needed,,ICIMOD,2014-10-29,1934,HYCOS; Flood; Temperature; Relative Humidity; Wind Direction; Rainfall; Wind Speed; Pressure; Automatic Weather Station; AWS; Bangladesh; Kurigram; Climatology; meteorology; atmosphere,89.544,25.797,89.544,25.797,false,https://rds.icimod.org/Home/DataDetail?metadataId=17450,Spatial extent overlaps HKH region
35,146,critical,26859,8b3087d8-174c-443c-a8fc-4dabf45e3980,Meteorological data from Yala Base Camp automatic weather station,real-time weather / forecast,weather_climate; cryosphere; route_context,"Text, table",,2012-05-07t18:15:00.000z,2019-12-30t18:15:00.000z,Annually,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2016-06-20,17259,meteorology; Automatic Weather Station; AWS; Glacier; Yala Glacier; Langtang; Climatology; meteorology; atmosphere,85.61208,28.23252,85.61208,28.23252,true,https://rds.icimod.org/Home/DataDetail?metadataId=26859,Spatial extent overlaps Nepal; Open license (CC BY); High portal popularity
36,146,critical,31029,c6a59a04-e6f7-4bf6-a6a8-f1cd534a6b62,Clean Ice and Debris covered glaciers of HKH Region,snowline / glacier context,cryosphere; terrain_landcover; remote_sensing,,50000,2003-11-30t18:15:00.000z,2008-12-30t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2011-04-12,18694,Glacier Status; Clean Ice; Debris Covered; Glacier; HKH; Amu Darya; Indus; Ganges; Brahmaputra; Irrawaddy; Nepal; Bhutan; China; India; Pakistan; Afghanistan; Geoscientific information,98.171,38.348,67.625,27.497,false,https://rds.icimod.org/Home/DataDetail?metadataId=31029,Spatial extent overlaps HKH region; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
37,145,critical,8685,2a7b19a6-d266-4b01-a1f8-fcd9cac5d0a9,Monthly Minimum Temperature Trend (March) 1950-2000 of Hindu Kush Himalayan (HKH) Region,real-time weather / forecast,weather_climate,Grid,1000000,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,"The content of this website can be accessed, printed and downloaded in an unaltered form (altered including being stretc",ICIMOD,2011-07-13T09:28:00,1712,Temperature; Climate; Monthly minimum temperature; Hindu Kush Himalayan Region; HKH Region; Climatology; meteorology; atmosphere,60.0000000000033,14.9999999999967,106.008333333337,48.00833333333,true,https://rds.icimod.org/Home/DataDetail?metadataId=8685,Spatial extent overlaps Nepal; Recent temporal coverage (≥2020)
38,145,critical,8683,7fe42618-f791-4514-abc9-88a7bd3d8682,Monthly Minimum Temperature Trend (January) 1950-2000 of Hindu Kush Himalayan (HKH) Region,real-time weather / forecast,weather_climate,Grid,1000000,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,"The content of this website can be accessed, printed and downloaded in an unaltered form (altered including being stretc",ICIMOD,2011-07-13T09:11:00,1478,Temperature; Climate; Monthly minimum temperature; Hindu Kush Himalayan Region; HKH Region; Climatology; meteorology; atmosphere,60.0000000000033,14.9999999999967,106.008333333337,48.00833333333,true,https://rds.icimod.org/Home/DataDetail?metadataId=8683,Spatial extent overlaps Nepal; Recent temporal coverage (≥2020)
39,145,critical,8684,13dacec2-8fd7-46cc-96ec-0511b41c22b3,Monthly Minimum Temperature Trend (February) 1950-2000 of Hindu Kush Himalayan (HKH) Region,real-time weather / forecast,weather_climate,Grid,1000000,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,"The content of this website can be accessed, printed and downloaded in an unaltered form (altered including being stretc",ICIMOD,2011-07-13T09:20:00,1478,Temperature; Climate; Monthly minimum temperature; Hindu Kush Himalayan Region; HKH Region; Climatology; meteorology; atmosphere,60.0000000000033,14.9999999999967,106.008333333337,48.00833333333,true,https://rds.icimod.org/Home/DataDetail?metadataId=8684,Spatial extent overlaps Nepal; Recent temporal coverage (≥2020)
